Doc&Category, Element ID, Porperty, Number Value,String Value 
9,939036,无连接高度@19,144.5,
9,939036,结构@12,0,
9,939036,启用分析模型@12,0,
9,939036,类型@-1,,Exterior - White Brick
9,939036,顶部延伸距离@19,0,
9,939036,族与类型@-1,,Exterior - White Brick
9,939036,定位线@19,2,
9,939036,创建的阶段@14,,New Construction
9,939036,底部约束@19,,L0
9,939036,顶部约束@19,,Roof
9,939036,族@-1,,Exterior - White Brick
9,939036,已附着底部@19,0,
9,939036,顶部偏移@19,4.5,
9,939036,与体量相关@19,0,
9,939036,底部延伸距离@19,0,
9,939036,底部偏移@19,0,
9,939036,体积@1,32491.97,
9,939036,已附着顶部@19,0,
9,939036,面积@1,26190.63,
9,939036,长度@1,181.25,
9,939036,结构用途@12,0,
9,939036,类型 ID@-1,,Exterior - White Brick
9,939036,在端点包络@3,0,
9,939036,结构材质@5,,04_BR-1 Brick
9,939036,吸收率@92,0.1,
9,939036,在插入点包络@3,0,
9,939036,类型名称@0,,Exterior - White Brick
9,939036,类型注释@0,,1
9,939036,厚度@3,1.25,
9,939036,功能@3,1,
9,939036,粗略比例填充颜色@4,0,
9,939036,粗糙度@92,1,
9,939037,已附着底部@19,0,
9,939037,无连接高度@19,144.5,
9,939037,底部偏移@19,0,
9,939037,创建的阶段@14,,New Construction
9,939037,族@-1,,Exterior - White Brick
9,939037,底部约束@19,,L0
9,939037,启用分析模型@12,0,
9,939037,面积@1,13935.22,
9,939037,顶部延伸距离@19,0,
9,939037,定位线@19,2,
9,939037,底部延伸距离@19,0,
9,939037,与体量相关@19,0,
9,939037,族与类型@-1,,Exterior - White Brick
9,939037,结构@12,0,
9,939037,已附着顶部@19,0,
9,939037,类型@-1,,Exterior - White Brick
9,939037,长度@1,96.44,
9,939037,顶部偏移@19,4.5,
9,939037,顶部约束@19,,Roof
9,939037,类型 ID@-1,,Exterior - White Brick
9,939037,结构用途@12,0,
9,939037,体积@1,17245.77,
9,939037,在端点包络@3,0,
9,939037,结构材质@5,,04_BR-1 Brick
9,939037,吸收率@92,0.1,
9,939037,在插入点包络@3,0,
9,939037,类型名称@0,,Exterior - White Brick
9,939037,类型注释@0,,1
9,939037,厚度@3,1.25,
9,939037,功能@3,1,
9,939037,粗略比例填充颜色@4,0,
9,939037,粗糙度@92,1,
9,939038,类型 ID@-1,,Exterior - White Brick
9,939038,无连接高度@19,144.5,
9,939038,顶部延伸距离@19,0,
9,939038,与体量相关@19,0,
9,939038,体积@1,19809.73,
9,939038,结构用途@12,0,
9,939038,创建的阶段@14,,New Construction
9,939038,定位线@19,2,
9,939038,已附着底部@19,0,
9,939038,底部偏移@19,0,
9,939038,底部约束@19,,L0
9,939038,启用分析模型@12,0,
9,939038,顶部偏移@19,4.5,
9,939038,顶部约束@19,,Roof
9,939038,面积@1,16030.36,
9,939038,底部延伸距离@19,0,
9,939038,结构@12,0,
9,939038,长度@1,181.25,
9,939038,族@-1,,Exterior - White Brick
9,939038,族与类型@-1,,Exterior - White Brick
9,939038,已附着顶部@19,0,
9,939038,类型@-1,,Exterior - White Brick
9,939038,在端点包络@3,0,
9,939038,结构材质@5,,04_BR-1 Brick
9,939038,吸收率@92,0.1,
9,939038,在插入点包络@3,0,
9,939038,类型名称@0,,Exterior - White Brick
9,939038,类型注释@0,,1
9,939038,厚度@3,1.25,
9,939038,功能@3,1,
9,939038,粗略比例填充颜色@4,0,
9,939038,粗糙度@92,1,
9,939039,类型 ID@-1,,Exterior - White Brick
9,939039,已附着顶部@19,0,
9,939039,底部偏移@19,0,
9,939039,长度@1,96.44,
9,939039,结构用途@12,0,
9,939039,类型@-1,,Exterior - White Brick
9,939039,顶部偏移@19,4.5,
9,939039,定位线@19,2,
9,939039,底部约束@19,,L0
9,939039,顶部延伸距离@19,0,
9,939039,顶部约束@19,,Roof
9,939039,启用分析模型@12,0,
9,939039,与体量相关@19,0,
9,939039,族与类型@-1,,Exterior - White Brick
9,939039,无连接高度@19,144.5,
9,939039,底部延伸距离@19,0,
9,939039,体积@1,17231.26,
9,939039,已附着底部@19,0,
9,939039,创建的阶段@14,,New Construction
9,939039,结构@12,0,
9,939039,面积@1,13935.22,
9,939039,族@-1,,Exterior - White Brick
9,939039,在端点包络@3,0,
9,939039,结构材质@5,,04_BR-1 Brick
9,939039,吸收率@92,0.1,
9,939039,在插入点包络@3,0,
9,939039,类型名称@0,,Exterior - White Brick
9,939039,类型注释@0,,1
9,939039,厚度@3,1.25,
9,939039,功能@3,1,
9,939039,粗略比例填充颜色@4,0,
9,939039,粗糙度@92,1,
8,939637,顶部偏移@19,0,
8,939637,底部标高@19,,L7
8,939637,长度@1,14,
8,939637,族@-1,,18"
8,939637,随轴网移动@19,1,
8,939637,底部偏移@19,0,
8,939637,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939637,创建的阶段@14,,New Construction
8,939637,柱样式@19,0,
8,939637,顶部标高@19,,L8
8,939637,类型@-1,,18"
8,939637,面积@1,32.4,
8,939637,柱定位标记@19,,H-5
8,939637,族与类型@-1,,18"
8,939637,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939637,体积@1,22.97,
8,939637,启用分析模型@12,1,
8,939637,标高@19,,L7
8,939637,类型 ID@-1,,18"
8,939637,类型名称@0,,18"
8,939637,部件代码@0,,B10
8,939637,横断面形状@12,0,
8,939637,b@1,1.5,
8,939639,长度@1,14,
8,939639,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939639,类型@-1,,18"
