Doc&Category, Element ID, Porperty, Number Value,String Value 
15,176804,GUID@-1,,203cff264c9d4eb493e528d28a0340f2
15,"176804","自标高的高度偏移@19",0,
15,"176804","标高@19",, Level 1 
15,"176804","启用分析模型@12",0,
15,"176804","顶部高程@1",0,
15,"176804","族@-1",, Generic 150mm 
15,"176804","面积@1",1139.96,
15,"176804","底部高程@1",-0.49,
15,"176804","类型 ID@-1",, Generic 150mm 
15,"176804","结构@12",0,
15,"176804","类型@-1",, Generic 150mm 
15,"176804","创建的阶段@14",, Working Drawings 
15,"176804","体积@1",561.01,
15,"176804","厚度@1",0.49,
15,"176804","周长@1",157.48,
15,"176804","族与类型@-1",, Generic 150mm 
15,"176804","与体量相关@19",0,
15,"176804","吸收率@92",0.1,
15,"176804","默认的厚度@3",0.49,
15,"176804","功能@3",0,
15,"176804","粗糙度@92",1,
15,"176804","结构材质@5",, SH_resin Floor 
15,"176804","类型名称@0",, Generic 150mm 
15,"176804","粗略比例填充颜色@4",0,
4,198694,GUID@-1,,ef57b02a5e8149e793bbae5f002e9a3a
4,"198694","底部延伸距离@19",0,
4,"198694","启用分析模型@12",0,
4,"198694","无连接高度@19",10.83,
4,"198694","定位线@19",0,
4,"198694","类型 ID@-1",, SIP 202mm Wall - conc clad 
4,"198694","已附着顶部@19",0,
4,"198694","长度@1",20.35,
4,"198694","已附着底部@19",0,
4,"198694","族与类型@-1",, SIP 202mm Wall - conc clad 
4,"198694","顶部约束@19",, Roof Line 
4,"198694","结构用途@12",0,
4,"198694","底部偏移@19",-0.98,
4,"198694","结构@12",0,
4,"198694","族@-1",, SIP 202mm Wall - conc clad 
4,"198694","底部约束@19",, Level 2 
4,"198694","类型@-1",, SIP 202mm Wall - conc clad 
4,"198694","创建的阶段@14",, Working Drawings 
4,"198694","顶部偏移@19",0,
4,"198694","体积@1",159.47,
4,"198694","顶部延伸距离@19",0,
4,"198694","与体量相关@19",0,
4,"198694","面积@1",240.63,
4,"198694","结构材质@5",, Structure - Timber Insulated Panel - Insulation 
4,"198694","在插入点包络@3",3,
4,"198694","类型名称@0",, SIP 202mm Wall - conc clad 
4,"198694","热质量@92",33244.2,
4,"198694","类型标记@0",, WT1 
4,"198694","说明@0",, Structural Insulation Panel Wall with Kiln Dried Timber Panel Rainscreen 
4,"198694","粗略比例填充颜色@4",0,
4,"198694","吸收率@92",0.1,
4,"198694","厚度@3",0.66,
4,"198694","粗略比例填充样式@4",, Solid fill 
4,"198694","粗糙度@92",1,
4,"198694","在端点包络@3",0,
4,"198694","功能@3",1,
4,"198694","传热系数(U)@92",47.55,
4,"198694","热阻(R)@92",0.02,
4,"198694","注释记号@0",, F10 
4,198749,GUID@-1,,ef57b02a5e8149e793bbae5f002e9a41
4,"198749","底部约束@19",, Level 1 
4,"198749","底部偏移@19",0,
4,"198749","族@-1",, Wall - Timber Clad 
4,"198749","类型@-1",, Wall - Timber Clad 
4,"198749","类型 ID@-1",, Wall - Timber Clad 
4,"198749","体积@1",42.87,
4,"198749","顶部延伸距离@19",0,
4,"198749","定位线@19",3,
4,"198749","结构@12",0,
4,"198749","创建的阶段@14",, Working Drawings 
4,"198749","启用分析模型@12",0,
4,"198749","面积@1",64.69,
4,"198749","长度@1",15.03,
4,"198749","已附着底部@19",0,
4,"198749","底部延伸距离@19",0,
